File,ChangeType,FileHuman,WorkingDir,PrevName,severity,severityIcon
config/user/.sfdx-hardis.takashin.yml,A,config/user/.sfdx-hardis.takashin.yml,,,log,📰
animationRules/LogStatus.animationRule-meta.xml,A,AnimationRule LogStatus,,,log,📰
apexEmailNotifications/apexEmailNotifications.notifications-meta.xml,A,ApexEmailNotifications apexEmailNotifications,,,log,📰
appMenus/AppSwitcher.appMenu-meta.xml,A,AppMenu AppSwitcher,,,log,📰
appMenus/Salesforce1.appMenu-meta.xml,A,AppMenu Salesforce1,,,log,📰
applications/LoggerConsole.app-meta.xml,A,CustomApplication LoggerConsole,,,log,📰
appointmentSchedulingPolicies/default_appointment_scheduling_policy.policy-meta.xml,A,AppointmentSchedulingPolicy default_appointment_scheduling_policy,,,log,📰
assignmentRules/Case.assignmentRules-meta.xml,A,AssignmentRules Case,,,log,📰
assignmentRules/Lead.assignmentRules-meta.xml,A,AssignmentRules Lead,,,log,📰
autoResponseRules/Case.autoResponseRules-meta.xml,A,AutoResponseRules Case,,,log,📰
autoResponseRules/Lead.autoResponseRules-meta.xml,A,AutoResponseRules Lead,,,log,📰
cachePartitions/LoggerCache.cachePartition-meta.xml,A,PlatformCachePartition LoggerCache,,,log,📰
classes/AbstractAggregateClause.cls,A,ApexClass AbstractAggregateClause,,,log,📰
classes/AbstractAggregateClause.cls-meta.xml,A,ApexClass AbstractAggregateClause,,,log,📰
classes/AbstractConditionClause.cls,A,ApexClass AbstractConditionClause,,,log,📰
classes/AbstractConditionClause.cls-meta.xml,A,ApexClass AbstractConditionClause,,,log,📰
classes/AbstractEntry.cls,A,ApexClass AbstractEntry,,,log,📰
classes/AbstractEntry.cls-meta.xml,A,ApexClass AbstractEntry,,,log,📰
classes/ApexEloquentTest.cls,A,ApexClass ApexEloquentTest,,,log,📰
classes/ApexEloquentTest.cls-meta.xml,A,ApexClass ApexEloquentTest,,,log,📰
classes/AverageClause.cls,A,ApexClass AverageClause,,,log,📰
classes/AverageClause.cls-meta.xml,A,ApexClass AverageClause,,,log,📰
classes/CallableLogger.cls,A,ApexClass CallableLogger,,,log,📰
classes/CallableLogger.cls-meta.xml,A,ApexClass CallableLogger,,,log,📰
classes/CallableLogger_Tests.cls,A,ApexClass CallableLogger_Tests,,,log,📰
classes/CallableLogger_Tests.cls-meta.xml,A,ApexClass CallableLogger_Tests,,,log,📰
classes/ComponentLogger.cls,A,ApexClass ComponentLogger,,,log,📰
classes/ComponentLogger.cls-meta.xml,A,ApexClass ComponentLogger,,,log,📰
classes/ComponentLogger_Tests.cls,A,ApexClass ComponentLogger_Tests,,,log,📰
classes/ComponentLogger_Tests.cls-meta.xml,A,ApexClass ComponentLogger_Tests,,,log,📰
classes/CountClause.cls,A,ApexClass CountClause,,,log,📰
classes/CountClause.cls-meta.xml,A,ApexClass CountClause,,,log,📰
classes/CountDistinctClause.cls,A,ApexClass CountDistinctClause,,,log,📰
classes/CountDistinctClause.cls-meta.xml,A,ApexClass CountDistinctClause,,,log,📰
classes/CreateMusubuFromApiUseCase.cls,A,ApexClass CreateMusubuFromApiUseCase,,,log,📰
classes/CreateMusubuFromApiUseCase.cls-meta.xml,A,ApexClass CreateMusubuFromApiUseCase,,,log,📰
classes/CreateMusubuFromApiUseCaseTest.cls,A,ApexClass CreateMusubuFromApiUseCaseTest,,,log,📰
classes/CreateMusubuFromApiUseCaseTest.cls-meta.xml,A,ApexClass CreateMusubuFromApiUseCaseTest,,,log,📰
classes/DmlOperator.cls,A,ApexClass DmlOperator,,,log,📰
classes/DmlOperator.cls-meta.xml,A,ApexClass DmlOperator,,,log,📰
classes/DmlOperatorTest.cls,A,ApexClass DmlOperatorTest,,,log,📰
classes/DmlOperatorTest.cls-meta.xml,A,ApexClass DmlOperatorTest,,,log,📰
classes/Eloquent.cls,A,ApexClass Eloquent,,,log,📰
classes/Eloquent.cls-meta.xml,A,ApexClass Eloquent,,,log,📰
classes/EloquentTest.cls,A,ApexClass EloquentTest,,,log,📰
classes/EloquentTest.cls-meta.xml,A,ApexClass EloquentTest,,,log,📰
classes/Entry.cls,A,ApexClass Entry,,,log,📰
classes/Entry.cls-meta.xml,A,ApexClass Entry,,,log,📰
classes/EntryTest.cls,A,ApexClass EntryTest,,,log,📰
classes/EntryTest.cls-meta.xml,A,ApexClass EntryTest,,,log,📰
classes/EqualConditionClause.cls,A,ApexClass EqualConditionClause,,,log,📰
classes/EqualConditionClause.cls-meta.xml,A,ApexClass EqualConditionClause,,,log,📰
classes/EqualConditionClauseTest.cls,A,ApexClass EqualConditionClauseTest,,,log,📰
classes/EqualConditionClauseTest.cls-meta.xml,A,ApexClass EqualConditionClauseTest,,,log,📰
classes/ExcludeConditionClause.cls,A,ApexClass ExcludeConditionClause,,,log,📰
classes/ExcludeConditionClause.cls-meta.xml,A,ApexClass ExcludeConditionClause,,,log,📰
classes/ExcludeConditionClauseTest.cls,A,ApexClass ExcludeConditionClauseTest,,,log,📰
classes/ExcludeConditionClauseTest.cls-meta.xml,A,ApexClass ExcludeConditionClauseTest,,,log,📰
classes/FieldStructure.cls,A,ApexClass FieldStructure,,,log,📰
classes/FieldStructure.cls-meta.xml,A,ApexClass FieldStructure,,,log,📰
classes/FieldStructureTest.cls,A,ApexClass FieldStructureTest,,,log,📰
classes/FieldStructureTest.cls-meta.xml,A,ApexClass FieldStructureTest,,,log,📰
classes/FlowCollectionLogEntry.cls,A,ApexClass FlowCollectionLogEntry,,,log,📰
classes/FlowCollectionLogEntry.cls-meta.xml,A,ApexClass FlowCollectionLogEntry,,,log,📰
classes/FlowCollectionLogEntry_Tests.cls,A,ApexClass FlowCollectionLogEntry_Tests,,,log,📰
classes/FlowCollectionLogEntry_Tests.cls-meta.xml,A,ApexClass FlowCollectionLogEntry_Tests,,,log,📰
classes/FlowLogEntry.cls,A,ApexClass FlowLogEntry,,,log,📰
classes/FlowLogEntry.cls-meta.xml,A,ApexClass FlowLogEntry,,,log,📰
classes/FlowLogEntry_Tests.cls,A,ApexClass FlowLogEntry_Tests,,,log,📰
classes/FlowLogEntry_Tests.cls-meta.xml,A,ApexClass FlowLogEntry_Tests,,,log,📰
classes/FlowLogger.cls,A,ApexClass FlowLogger,,,log,📰
classes/FlowLogger.cls-meta.xml,A,ApexClass FlowLogger,,,log,📰
classes/FlowLogger_Tests.cls,A,ApexClass FlowLogger_Tests,,,log,📰
classes/FlowLogger_Tests.cls-meta.xml,A,ApexClass FlowLogger_Tests,,,log,📰
classes/FlowRecordLogEntry.cls,A,ApexClass FlowRecordLogEntry,,,log,📰
classes/FlowRecordLogEntry.cls-meta.xml,A,ApexClass FlowRecordLogEntry,,,log,📰
classes/FlowRecordLogEntry_Tests.cls,A,ApexClass FlowRecordLogEntry_Tests,,,log,📰
classes/FlowRecordLogEntry_Tests.cls-meta.xml,A,ApexClass FlowRecordLogEntry_Tests,,,log,📰
classes/GreaterThanConditionClause.cls,A,ApexClass GreaterThanConditionClause,,,log,📰
classes/GreaterThanConditionClause.cls-meta.xml,A,ApexClass GreaterThanConditionClause,,,log,📰
classes/GreaterThanConditionClauseTest.cls,A,ApexClass GreaterThanConditionClauseTest,,,log,📰
classes/GreaterThanConditionClauseTest.cls-meta.xml,A,ApexClass GreaterThanConditionClauseTest,,,log,📰
classes/GreaterThanOrEqualConditionClause.cls,A,ApexClass GreaterThanOrEqualConditionClause,,,log,📰
classes/GreaterThanOrEqualConditionClause.cls-meta.xml,A,ApexClass GreaterThanOrEqualConditionClause,,,log,📰
classes/GreaterThanOrEqualConditionClauseTest.cls,A,ApexClass GreaterThanOrEqualConditionClauseTest,,,log,📰
classes/GreaterThanOrEqualConditionClauseTest.cls-meta.xml,A,ApexClass GreaterThanOrEqualConditionClauseTest,,,log,📰
classes/IAggregateClause.cls,A,ApexClass IAggregateClause,,,log,📰
classes/IAggregateClause.cls-meta.xml,A,ApexClass IAggregateClause,,,log,📰
classes/IConditionClause.cls,A,ApexClass IConditionClause,,,log,📰
classes/IConditionClause.cls-meta.xml,A,ApexClass IConditionClause,,,log,📰
classes/IDmlOperator.cls,A,ApexClass IDmlOperator,,,log,📰
classes/IDmlOperator.cls-meta.xml,A,ApexClass IDmlOperator,,,log,📰
classes/IEloquent.cls,A,ApexClass IEloquent,,,log,📰
classes/IEloquent.cls-meta.xml,A,ApexClass IEloquent,,,log,📰
classes/IEntry.cls,A,ApexClass IEntry,,,log,📰
classes/IEntry.cls-meta.xml,A,ApexClass IEntry,,,log,📰
classes/InConditionClause.cls,A,ApexClass InConditionClause,,,log,📰
classes/InConditionClause.cls-meta.xml,A,ApexClass InConditionClause,,,log,📰
classes/InConditionClauseTest.cls,A,ApexClass InConditionClauseTest,,,log,📰
classes/InConditionClauseTest.cls-meta.xml,A,ApexClass InConditionClauseTest,,,log,📰
classes/InSubQueryConditionClause.cls,A,ApexClass InSubQueryConditionClause,,,log,📰
classes/InSubQueryConditionClause.cls-meta.xml,A,ApexClass InSubQueryConditionClause,,,log,📰
classes/InSubQueryConditionClauseTest.cls,A,ApexClass InSubQueryConditionClauseTest,,,log,📰
classes/InSubQueryConditionClauseTest.cls-meta.xml,A,ApexClass InSubQueryConditionClauseTest,,,log,📰
classes/IncludesConditionClause.cls,A,ApexClass IncludesConditionClause,,,log,📰
classes/IncludesConditionClause.cls-meta.xml,A,ApexClass IncludesConditionClause,,,log,📰
classes/IncludesConditionClauseTest.cls,A,ApexClass IncludesConditionClauseTest,,,log,📰
classes/IncludesConditionClauseTest.cls-meta.xml,A,ApexClass IncludesConditionClauseTest,,,log,📰
classes/IsNotNullConditionClause.cls,A,ApexClass IsNotNullConditionClause,,,log,📰
classes/IsNotNullConditionClause.cls-meta.xml,A,ApexClass IsNotNullConditionClause,,,log,📰
classes/IsNotNullConditionClauseTest.cls,A,ApexClass IsNotNullConditionClauseTest,,,log,📰
classes/IsNotNullConditionClauseTest.cls-meta.xml,A,ApexClass IsNotNullConditionClauseTest,,,log,📰
classes/IsNullConditionClause.cls,A,ApexClass IsNullConditionClause,,,log,📰
classes/IsNullConditionClause.cls-meta.xml,A,ApexClass IsNullConditionClause,,,log,📰
classes/IsNullConditionClauseTest.cls,A,ApexClass IsNullConditionClauseTest,,,log,📰
