Id,Industry,Name,Phone,Website
001gL00000TnjBNQAZ,Electronics,Edge Communications,(512) 757-6000,http://edgecomm.com
001gL00000TnjBOQAZ,Apparel,Burlington Textiles Corp of America,(336) 222-7000,www.burlington.com
001gL00000TnjBPQAZ,Construction,Pyramid Construction Inc.,(014) 427-4427,www.pyramid.com
001gL00000TnjBQQAZ,Consulting,Dickenson plc,(785) 241-6200,dickenson-consulting.com
001gL00000TnjBRQAZ,Hospitality,Grand Hotels & Resorts Ltd,(312) 596-1000,www.grandhotels.com
001gL00000TnjBSQAZ,Energy,United Oil & Gas Corp.,(212) 842-5500,http://www.uos.com
001gL00000TnjBTQAZ,Transportation,Express Logistics and Transport,(503) 421-7800,www.expressl&t.net
001gL00000TnjBUQAZ,Education,University of Arizona,(520) 773-9050,www.universityofarizona.com
001gL00000TnjBVQAZ,Energy,"United Oil & Gas, UK",+44 191 4956203,http://www.uos.com
001gL00000TnjBWQAZ,Energy,"United Oil & Gas, Singapore",(650) 450-8810,http://www.uos.com
001gL00000TnjBXQAZ,Biotechnology,GenePoint,(650) 867-3450,www.genepoint.com
001gL00000TnjBYQAZ,,sForce,(415) 901-7000,www.sforce.com
001gL00000TnjBZQAZ,,Sample Account for Entitlements,,
